vegetable beet 1810, cosine similarity=0.00
vegetable beet 1990, cosine similarity=0.27

vegetable rest 1810, cosine similarity=0.08
vegetable rest 1990, cosine similarity=0.03

season spring 1810, cosine similarity=0.42
season spring 1990, cosine similarity=0.38

season cold 1810, cosine similarity=0.28
season cold 1990, cosine similarity=0.23

season stump 1810, cosine similarity=0.00
season stump 1990, cosine similarity=0.05

tool shovel 1810, cosine similarity=0.23
tool shovel 1990, cosine similarity=0.13

tool spade 1810, cosine similarity=0.24
tool spade 1990, cosine similarity=0.10

tool lunch 1810, cosine similarity=0.00
tool lunch 1990, cosine similarity=-0.05

relative uncle 1810, cosine similarity=-0.03
relative uncle 1990, cosine similarity=-0.05

relative son 1810, cosine similarity=0.02
relative son 1990, cosine similarity=-0.10

relative slice 1810, cosine similarity=0.00
relative slice 1990, cosine similarity=0.02

animal cow 1810, cosine similarity=0.29
animal cow 1990, cosine similarity=0.36

animal ox 1810, cosine similarity=0.26
animal ox 1990, cosine similarity=0.28

animal ivy 1810, cosine similarity=0.08
animal ivy 1990, cosine similarity=0.07

body leg 1810, cosine similarity=0.19
body leg 1990, cosine similarity=0.25

body chest 1810, cosine similarity=0.23
body chest 1990, cosine similarity=0.17

body gyms 1810, cosine similarity=0.00
body gyms 1990, cosine similarity=0.00

color red 1810, cosine similarity=0.40
color red 1990, cosine similarity=0.30

color brown 1810, cosine similarity=0.43
color brown 1990, cosine similarity=0.26

color nest 1810, cosine similarity=0.11
color nest 1990, cosine similarity=0.05

in apartment 1810, cosine similarity=0.09
in apartment 1990, cosine similarity=0.02

in tent 1810, cosine similarity=0.03
in tent 1990, cosine similarity=0.04

in domino 1810, cosine similarity=0.00
in domino 1990, cosine similarity=-0.06

fabric cotton 1810, cosine similarity=0.13
fabric cotton 1990, cosine similarity=0.24

fabric lace 1810, cosine similarity=0.05
fabric lace 1990, cosine similarity=0.27

fabric payday 1810, cosine similarity=0.00
fabric payday 1990, cosine similarity=0.00

