vegetable beet 1920, cosine similarity=0.23
vegetable beet 1990, cosine similarity=0.27

vegetable rest 1920, cosine similarity=0.10
vegetable rest 1990, cosine similarity=0.03

season spring 1920, cosine similarity=0.38
season spring 1990, cosine similarity=0.38

season cold 1920, cosine similarity=0.24
season cold 1990, cosine similarity=0.23

season stump 1920, cosine similarity=-0.07
season stump 1990, cosine similarity=0.05

tool shovel 1920, cosine similarity=0.27
tool shovel 1990, cosine similarity=0.13

tool spade 1920, cosine similarity=0.28
tool spade 1990, cosine similarity=0.10

tool lunch 1920, cosine similarity=-0.08
tool lunch 1990, cosine similarity=-0.05

relative uncle 1920, cosine similarity=0.04
relative uncle 1990, cosine similarity=-0.05

relative son 1920, cosine similarity=-0.05
relative son 1990, cosine similarity=-0.10

relative slice 1920, cosine similarity=-0.06
relative slice 1990, cosine similarity=0.02

animal cow 1920, cosine similarity=0.35
animal cow 1990, cosine similarity=0.36

animal ox 1920, cosine similarity=0.29
animal ox 1990, cosine similarity=0.28

animal ivy 1920, cosine similarity=0.03
animal ivy 1990, cosine similarity=0.07

body leg 1920, cosine similarity=0.20
body leg 1990, cosine similarity=0.25

body chest 1920, cosine similarity=0.26
body chest 1990, cosine similarity=0.17

body gyms 1920, cosine similarity=0.00
body gyms 1990, cosine similarity=0.00

color red 1920, cosine similarity=0.43
color red 1990, cosine similarity=0.30

color brown 1920, cosine similarity=0.37
color brown 1990, cosine similarity=0.26

color nest 1920, cosine similarity=0.03
color nest 1990, cosine similarity=0.05

in apartment 1920, cosine similarity=0.00
in apartment 1990, cosine similarity=0.02

in tent 1920, cosine similarity=0.02
in tent 1990, cosine similarity=0.04

in domino 1920, cosine similarity=0.00
in domino 1990, cosine similarity=-0.06

fabric cotton 1920, cosine similarity=0.21
fabric cotton 1990, cosine similarity=0.24

fabric lace 1920, cosine similarity=0.25
fabric lace 1990, cosine similarity=0.27

fabric payday 1920, cosine similarity=0.00
fabric payday 1990, cosine similarity=0.00

shape triangle 1920, cosine similarity=0.25
shape triangle 1990, cosine similarity=0.19

shape cone 1920, cosine similarity=0.31
shape cone 1990, cosine similarity=0.27

shape tailor 1920, cosine similarity=0.08
shape tailor 1990, cosine similarity=0.07

animal cat 1920, cosine similarity=0.28
animal cat 1990, cosine similarity=0.28

animal pig 1920, cosine similarity=0.28
animal pig 1990, cosine similarity=0.30

animal bus 1920, cosine similarity=-0.04
animal bus 1990, cosine similarity=-0.01

rodent mouse 1920, cosine similarity=0.00
rodent mouse 1990, cosine similarity=0.24

rodent shrew 1920, cosine similarity=0.00
rodent shrew 1990, cosine similarity=0.09

rodent fudge 1920, cosine similarity=0.00
rodent fudge 1990, cosine similarity=0.08

tree branch 1920, cosine similarity=0.36
tree branch 1990, cosine similarity=0.32

tree twig 1920, cosine similarity=0.42
tree twig 1990, cosine similarity=0.36

tree plaza 1920, cosine similarity=0.14
tree plaza 1990, cosine similarity=0.07

green grass 1920, cosine similarity=0.40
green grass 1990, cosine similarity=0.35

green frogs 1920, cosine similarity=0.11
green frogs 1990, cosine similarity=0.07

green giant 1920, cosine similarity=0.20
green giant 1990, cosine similarity=0.14

 fork 1920, cosine similarity=0.00
 fork 1990, cosine similarity=0.00

 mixer 1920, cosine similarity=0.00
 mixer 1990, cosine similarity=0.00

 text 1920, cosine similarity=0.00
 text 1990, cosine similarity=0.00

metal steel 1920, cosine similarity=0.51
metal steel 1990, cosine similarity=0.52

metal tin 1920, cosine similarity=0.44
metal tin 1990, cosine similarity=0.42

metal halo 1920, cosine similarity=0.12
metal halo 1990, cosine similarity=0.16

animal dog 1920, cosine similarity=0.39
animal dog 1990, cosine similarity=0.37

animal mouse 1920, cosine similarity=0.27
animal mouse 1990, cosine similarity=0.15

animal pink 1920, cosine similarity=0.12
animal pink 1990, cosine similarity=0.09

bicycle wheel 1920, cosine similarity=0.34
bicycle wheel 1990, cosine similarity=0.34

bicycle lock 1920, cosine similarity=0.11
bicycle lock 1990, cosine similarity=0.11

bicycle store 1920, cosine similarity=0.14
bicycle store 1990, cosine similarity=0.10

wood oak 1920, cosine similarity=0.38
wood oak 1990, cosine similarity=0.29

wood elm 1920, cosine similarity=0.24
wood elm 1990, cosine similarity=0.13

wood key 1920, cosine similarity=0.09
wood key 1990, cosine similarity=-0.03

season fall 1920, cosine similarity=0.18
season fall 1990, cosine similarity=0.18

season hunting 1920, cosine similarity=0.23
season hunting 1990, cosine similarity=0.21

season force 1920, cosine similarity=-0.00
season force 1990, cosine similarity=-0.03
